question,reponse
Combien de personnes travaillent au ministère des sports,100 000
Combien d'employeurs,20 000
Quel part du budget des ménages,50
Quel montant en 2003,"14,2 milliards d'euros | 14,2 milliards"
Quel montant en 2019,12 milliards
Qui a été témoin de miracles,Böhme
Que trouve t on sous le mont Landeskrone,un monceau d'argent | une caverne
Qui est voué à un avenir hors du commun,Böhme
Un évenement bizarre a eu lieu à quel moment,durant l'apprentissage
Qui a fait l'acquisition de chaussures,un étranger
Qui est de constitution fragile ?,Jakob Böhme
Qui est le grand-père de Jakob,Ambroise Böhme
Les parents de Jakob sont des personnes riches,relative aisance
Qui est scolarisé pour apprendre,leur fils | Jakob Böhme
Comment s'appelait Zgorzelec il y a environ 500 ans,Görlitz | hameau du Alt-Seidenberg
En quelle année Jakob Böhme tombe-t-il malade ?,1624
Qui est mort en juillet ?,Richter
Quel est le métier de Nicolas Thomas ?,pasteur
Que doit subir Jakob Böhme avant d’obtenir les derniers sacrements ?,examen
Pourquoi Böhme enfle-t-il ?,ingurgite une grande quantité d'eau
Quand a t il soutenu sa thèse ?,le 11 pluviose an XII (31 janvier 1804
A quel âge obtient il son diplôme ?,à 20 ans
Quelles études suit Guillaume ?,médicales
A quel âge Guillaume Marie André Ferrus part pour Paris ?,à 15 ans
Combien de temps a duré le stage ?,deux années
Comment sont les températures dans le désert du nil la nuit ?,glacial la nuit
Comment sont les températures dans le desert du nil ?,"Dans le désert, les températures extrêmes sont de rigueur"
Quel mois sont froid dans le NIL ?,"les mois de janvier, février et mars"
Comment est la température du Nil en hiver ?,température est douce
Comment l'air est dans le Nil ?,L’air y est particulièrement sec et salubre
"Quel pays est surnommé la ""perle de l'Afrique"" ?",L’Ouganda
Quelle est la croissance moyenne de l'Ouganda dans les années 1990 ?,"6,5 % dans"
Qui fut la vice-présidente du Parlement ougandais de 1994 à 2003 ?,Specioza Kazibwe
Comment est surnommée l'Uganda Commercial Bank ?,banque du peuple
Quelle est la proportion de femmes dans le Parlement ougandais en 2016 ?,un tiers | plus d’un tiers
Quand s'arrête la guerre civile en Ouganda ?,2006
Quel pays passe un accord avec le FMI en 1987 ?,Ouganda
Quelle institution financière fait des recommandations à l'Ouganda ?,FMI
Qui abandonne ses principes marxistes en 1987 ?,Museveni
Quel groupe menait une guérilla en Ouganda en 2005 ?,armée de résistance du Seigneur
Qui dirigeait la Tanzanie en 1967 ?,Julius Nyerere
Qui est Walter Rodney ?,historien guyanien
Sur qui Yoweri Museveni a fait une thèse ?,Frantz Fanon
Dans quel pays a étudié Yoweri Museveni ?,Tanzanie
Où est Dar es Salaam ?,Tanzanie
Quelle est l'origine du nom Museveni ?,"seven », « sept » en anglais"
De quel pays est le King's African Rifles ?,britannique
Qui est le père de Yoweri Kaguta ?,un riche propriétaire terrien | riche propriétaire terrien
De quelle nationalité est Yoweri Kaguta ?,Ouganda
Où est l'Ouganda ?,la région des Grands Lacs | région des Grands Lacs
Quel ruisseau débute à Villejust ?,Le Rouillon
Quel ruisseau ne court pas par les Ulis ?,Angoulême
"Quelle activité propose l'association ""Ulis Pêche Passion"" ?",des concours de pêche sportive | concours de pêche sportive
Combien de mares symbolisent le début du quartier de l'Ermitage ?,Trois
Au bord de quel route se trouve le quartier de l'Ermitage ?,nationale 118
A combien de kilomètres de Paris se trouvent les Ulis ?,vingt-quatre kilomètres | à vingt-quatre kilomètres au sud-ouest de Paris-Notre-Dame
quel est le point zero de toutes les routes de France ?,à vingt-quatre kilomètres au sud-ouest de Paris-Notre-Dame | Paris-Notre-Dame
A combien de kilomètres de Palaiseau sont situés les Ulis  ?,six kilomètres | six kilomètres au sud-ouest de Palaiseau
Les Ulis sont ils au sud d'Arpajon ?,au nord-ouest d’Arpajon
Les Ulis sont ils à trois kilometres de Corbeil-Essonnes,vingt-quatre kilomètres au nord-ouest de Corbeil-Essonnes
De quoi l'école de Paris pouvait elle être qualifiée par certains dans les années 50?,esthétique figurative nationale
Quand eu lieu l'exposition à la galerie Babylone organisée par charles estienne?,janvier 1952
"Quand l'expression ""école de Paris"" a t elle été détournée ?",dans les années 1950 | années 1950
De quels artistes est constituée la Nouvelle Ecole de Paris?,artistes à tendances abstraites
De quel courant artistique étaient issues les artistes ayant exposé à la galerie Babylone en janvier 52?,Nouvelle École de Paris | abstraites
Quelle forme intrinsèque distingue la compilation du Qoran,forme canonique
Quelle figure emblématique caractérise un prophète éminent ?,calife
Année de décès du prophète othman bin affan,mort en 656
Quelle est l’année de naissance de Othman bit affan ?,né en 574
Citez une figure emblématique de prophète musulman ?,Othman ibn Affan
Quelle organisation internationale confie l'administration du Cameroun à la France et à l'Angleterre après la défaite allemande ?,Société des Nations
Quelle nouvelle forme de politique coloniale introduit la France au Cameroun par rapport à l'Allemagne ?,politique d'assimilation
Quelle puissance coloniale était présente au Nigeria ?,Royaume-Uni
En quelle année la France administre-t-elle le Cameroun ?,1918
Pourquoi l'Allemagne abandonne sa possession camerounaise ?,défaite lors de la Grande Guerre
Quelle ethnie est observée par les scientifiques allemands durant la période coloniale ?,Baka
Les populations colonisées vivaient-elles dans de bonnes conditions sous l'occupation allemande ?,soumises au travail forcé et aux châtiments corporels
Quelle agriculture trouve-t-on depuis la période coloniale au Cameroun ?,"cacaoyers, bananiers, caféiers, hévéas, palmiers à huile"
Quels travaux d'infrastructure sont conduits de manière prioritaires par les puissances coloniales au Cameroun ?,construction de routes et de la première ligne de chemin de fer
